X,Y,Z,t
-0.018,0.075,-0.014,20
-0.016,0.102,-0.013,10
-0.118,-0.08,-0.046,20
-0.037,0.065,0.061,10
-0.137,-0.009,0.124,21
0.014,-0.043,0.077,9
0.288,0.098,-0.033,20
0.225,0.054,-0.133,21
0.202,-0.088,-0.258,10
0.079,-0.079,-0.232,19
0.14,0.065,-0.071,10
0.195,-0.181,-0.133,21
0.244,-0.06,-0.05,9
0.151,0.118,0.126,21
0.273,0.209,0.01,19
0.143,0.119,-0.059,10
-0.146,-0.409,-0.053,20
-0.028,-0.506,0.089,11
0.077,-0.421,0.184,19
0.207,0.0,0.269,20
0.324,0.241,0.138,11
0.223,-0.058,0.021,19
-0.143,-0.156,-0.118,10
0.284,-1.002,-0.21,21
0.393,-0.522,-0.154,10
0.457,0.218,-0.07,19
0.239,-0.078,-0.097,21
0.112,-0.001,-0.053,9
-0.036,-0.587,-0.048,20
0.242,-0.356,0.025,11
0.425,0.265,0.195,20
0.21,0.273,0.348,10
0.189,0.418,0.279,20
-0.002,0.548,0.147,21
-0.208,0.7,0.098,9
-0.429,0.871,-0.014,20
-0.489,1.405,-0.013,10
-0.233,0.885,-0.184,20
-0.313,0.21,-0.476,10
-0.489,-0.706,-0.738,30
-0.612,-0.808,-0.665,10
-0.241,-1.175,-0.839,10
-0.148,-1.264,-1.1,20
-0.305,-0.793,-0.645,10
-0.895,-1.403,0.142,20
-1.116,-2.263,0.921,22
-0.522,-1.278,1.036,12
0.874,0.262,-1.17,16
0.718,1.305,-1.053,10
-0.732,1.209,0.327,20
-0.935,0.605,0.949,9
-0.807,0.303,0.82,22
-0.898,-0.312,0.807,18
-1.808,-0.453,2.415,10
0.716,-2.028,1.691,20
-2.044,0.863,0.695,21
-0.84,1.121,1.177,10
0.381,-0.266,0.438,9
-0.483,-0.549,0.877,20
-0.228,-0.874,0.789,20
0.621,-1.303,0.055,11
0.938,-1.138,-0.294,20
-0.292,-0.887,0.217,19
-1.022,-1.108,0.85,12
-0.195,-1.204,0.317,9
1.857,-0.532,-3.678,20
-0.017,0.175,-2.587,20
-3.29,-1.462,7.704,9
-1.513,-2.936,1.038,20
-0.603,-2.125,0.486,10
0.904,-2.257,-0.01,20
0.779,-2.687,-0.181,21
0.77,-2.314,0.008,9
0.796,-1.6,-0.44,20
0.406,-1.13,0.189,10
0.297,-1.362,-0.277,21
0.715,-1.984,-2.111,9
0.196,-2.372,-3.727,21
-0.995,-4.272,5.402,19
-0.965,-2.19,2.448,10
-0.489,-1.557,1.376,30
-0.268,-1.332,-0.14,20
-0.379,-0.992,-1.505,11
-0.927,-0.652,-1.768,20
-0.593,-1.0,-1.591,20
-0.465,-0.624,-2.639,10
-0.556,-2.699,4.554,20
0.257,-2.946,4.099,10
0.68,1.105,-2.033,20
1.37,0.133,4.857,10
1.44,0.843,-0.799,20
2.192,-0.067,-0.202,20
1.697,-1.06,-1.216,10
0.183,-0.299,-1.336,20
0.233,1.178,0.555,10
0.176,1.163,0.431,25
-0.462,1.185,0.146,5
-1.07,1.239,-0.626,30
-1.205,0.839,-0.77,10
-0.153,0.41,0.202,11
0.068,0.714,-0.127,19
-0.593,0.539,-0.149,10
-0.568,0.52,-0.41,21
-0.166,0.468,-0.024,10
-0.184,0.352,-0.125,19
-0.338,0.42,-0.112,21
-0.27,0.343,-0.205,9
-0.139,0.275,-0.012,20
-0.16,0.282,-0.148,10
-0.213,0.253,-0.065,20
-0.157,0.193,-0.092,20
-0.141,0.174,-0.049,10
-0.127,0.191,-0.113,20
-0.114,0.172,-0.067,10
-0.068,0.12,-0.06,20
-0.096,0.143,-0.054,11
-0.086,0.094,-0.014,19
-0.078,0.119,-0.047,20
-0.07,0.072,-0.008,11
-0.063,0.065,-0.042,19
-0.056,0.093,-0.003,10
-0.051,0.049,-0.037,21
-0.046,0.079,0.0,9
-0.041,0.036,-0.033,20
-0.037,0.067,0.004,12
-0.033,0.026,-0.03,18
-0.03,0.058,-0.027,20
-0.027,0.017,-0.024,30
-0.024,0.05,0.011,20
0.012,0.045,-0.023,10
-0.023,0.006,-0.021,20
-0.02,0.04,-0.019,10
-0.018,0.036,-0.051,70
-0.016,0.032,0.022,11
-0.015,0.029,-0.014,20
-0.013,0.026,0.021,11
-0.012,0.023,-0.049,21
-0.011,0.021,-0.01,8
-0.01,-0.015,-0.009,22
0.025,-0.013,-0.008,19
-0.011,-0.012,-0.007,9
-0.01,0.023,-0.006,22
-0.009,0.021,-0.04,60
-0.008,0.018,-0.001,19
-0.007,-0.017,-0.001,31
-0.006,-0.015,-0.036,9
-0.006,0.02,-0.032,20
-0.005,-0.016,-0.029,9
-0.039,0.019,0.008,21
-0.001,0.017,-0.027,20
0.068,0.016,0.01,9
-0.007,-0.019,0.009,22
-0.041,-0.017,-0.06,8
-0.002,0.018,0.014,22
-0.002,-0.017,0.012,8
-0.002,0.018,0.011,20
-0.002,-0.018,-0.024,22
0.032,0.018,0.012,7
-0.005,0.016,-0.022,20
-0.004,-0.019,-0.02,30
-0.004,0.016,0.015,11
-0.003,-0.019,-0.02,19
0.031,0.017,0.016,31
0.028,-0.019,0.014,19
-0.009,0.017,0.013,10
-0.042,-0.018,-0.022,21
-0.004,-0.017,0.014,19
0.03,-0.015,-0.021,10
-0.006,-0.013,-0.019,21
0.028,0.022,0.016,29
-0.008,-0.014,-0.019,30
-0.008,0.021,0.017,20
-0.007,0.019,-0.019,10
-0.006,-0.017,0.017,20
-0.005,0.018,-0.018,10
-0.005,0.017,0.017,20
0.029,0.015,-0.018,11
-0.007,-0.02,-0.016,19
-0.006,0.015,-0.049,20
-0.006,0.014,-0.01,11
-0.005,-0.021,0.025,19
-0.005,-0.019,-0.011,14
-0.039,-0.017,-0.01,18
0.033,-0.015,-0.009,12
-0.004,0.02,0.025,18
-0.003,0.018,-0.011,20
0.031,0.016,-0.01,33
-0.006,-0.019,-0.009,6
-0.005,-0.017,-0.042,21
-0.005,-0.015,-0.003,10
-0.004,0.02,-0.003,21
-0.004,-0.016,-0.003,49
-0.003,0.019,-0.002,12
0.031,-0.016,-0.002,49
-0.006,0.019,-0.002,18
-0.005,-0.016,-0.002,10
-0.005,0.019,-0.001,22
-0.004,-0.017,0.032,30
-0.004,-0.015,-0.004,20
-0.003,0.02,-0.004,39
-0.003,-0.015,-0.003,51
0.031,-0.014,-0.003,19
-0.006,0.021,-0.003,10
-0.005,-0.015,-0.002,18
-0.005,0.02,0.031,11
-0.004,0.018,-0.005,22
-0.004,0.016,0.029,20
-0.003,-0.019,-0.008,9
-0.003,0.017,-0.007,31
-0.002,-0.019,-0.006,29
-0.002,0.017,-0.005,31
-0.002,-0.018,-0.005,80
-0.002,0.017,-0.004,48
0.032,0.015,-0.004,23
-0.005,0.014,-0.003,8
-0.004,-0.021,-0.003,30
-0.004,0.014,-0.003,21
-0.003,-0.021,-0.002,20
0.031,0.015,-0.002,30
-0.006,0.013,-0.002,8
-0.005,-0.021,-0.002,21
-0.005,0.014,-0.001,20
-0.004,-0.021,-0.001,38
0.03,0.015,-0.001,20
-0.007,0.013,-0.001,10
-0.006,-0.021,-0.001,70
-0.005,0.014,-0.001,33
-0.005,0.013,-0.035,8
-0.004,-0.022,0.002,22
-0.004,0.014,0.036,29
-0.003,-0.021,-0.001,22
-0.003,0.014,-0.001,7
-0.003,-0.021,-0.001,32
0.031,0.015,0.0,19
-0.005,-0.02,0.0,10
-0.005,0.016,0.033,40
0.029,0.014,-0.004,10
-0.007,0.012,-0.003,21
-0.007,-0.022,-0.003,9
-0.006,-0.02,-0.037,40
-0.005,0.016,0.0,12
-0.005,0.014,0.035,19
0.029,0.012,-0.002,8
-0.007,0.011,-0.002,21
-0.006,-0.023,-0.002,10
-0.006,0.012,-0.002,21
-0.005,-0.022,-0.001,159
0.029,0.013,-0.001,31
-0.007,-0.021,-0.001,20
-0.007,0.014,-0.035,9
-0.006,0.013,0.002,21
-0.005,-0.022,0.001,8
0.029,-0.02,0.001,72
-0.008,-0.018,0.001,8
-0.007,0.018,0.001,22
-0.006,-0.018,0.001,40
0.028,0.018,0.001,110
-0.008,-0.018,0.001,21
-0.007,0.018,0.0,48
-0.007,-0.018,0.0,10
0.028,-0.016,0.0,21
-0.009,0.019,0.0,20
0.026,-0.016,0.0,59
-0.01,0.019,0.0,10
-0.009,-0.016,0.0,20
0.025,-0.015,0.0,12
-0.011,-0.013,0.0,18
0.024,0.022,0.0,21
-0.012,-0.014,0.0,9
-0.011,0.021,0.0,41
-0.01,-0.015,0.034,9
-0.009,0.02,-0.003,21
-0.008,-0.015,-0.002,8
0.026,-0.014,-0.002,52
-0.01,-0.012,-0.002,21
-0.009,0.022,-0.002,7
-0.008,-0.013,-0.001,21
0.027,0.022,-0.001,9
-0.01,-0.014,-0.001,21
-0.009,-0.013,-0.035,10
-0.008,-0.011,0.002,21
-0.007,0.023,0.001,30
-0.006,-0.013,0.001,29
-0.005,-0.011,-0.032,18
-0.005,-0.01,0.004,11
-0.004,0.024,-0.03,21
-0.004,0.022,0.007,19
-0.003,-0.014,-0.027,12
-0.003,0.021,0.009,19
-0.003,-0.014,0.008,12
-0.002,0.02,0.007,48
-0.002,-0.015,0.006,22
0.032,-0.014,0.006,7
-0.005,-0.012,0.005,21
-0.004,0.023,0.005,42
0.029,-0.013,0.004,17
-0.007,0.022,0.004,22
-0.006,-0.014,0.003,9
0.028,0.021,0.003,29
-0.008,0.019,0.002,21
-0.008,-0.017,0.002,31
0.027,0.019,0.002,18
-0.009,-0.017,0.002,9
-0.008,-0.015,-0.032,21
-0.008,-0.014,0.005,9
-0.007,0.021,0.004,69
-0.006,-0.014,0.004,11
-0.005,0.021,0.003,22
0.029,-0.015,0.003,10
-0.008,-0.013,0.003,20
-0.007,0.021,0.002,31
-0.006,-0.014,0.002,19
0.028,-0.013,0.002,9
-0.008,-0.011,0.002,31
-0.007,0.023,0.001,41
-0.007,-0.013,0.001,8
-0.006,0.022,0.001,20
0.028,-0.014,0.001,11
-0.008,0.021,-0.033,31
-0.007,0.019,0.004,20
0.027,-0.016,0.004,19
-0.009,-0.015,0.003,10
0.025,0.02,0.003,20
-0.011,-0.015,0.002,12
-0.01,0.02,0.002,19
0.025,0.018,0.002,20
0.022,0.016,0.036,9
-0.014,0.014,-0.035,21
-0.047,-0.021,0.002,8
-0.007,-0.019,0.001,22
0.027,-0.017,0.001,20
-0.009,0.019,0.036,30
0.025,0.017,-0.002,8
0.023,-0.019,-0.001,22
-0.013,-0.017,-0.001,8
-0.012,-0.015,0.032,21
0.023,-0.013,-0.004,10
-0.013,-0.012,-0.004,21
-0.012,0.023,-0.003,19
0.023,-0.013,0.03,10
0.021,0.022,0.027,20
-0.015,-0.014,-0.009,10
-0.013,0.021,-0.008,21
0.022,-0.015,-0.007,18
0.019,-0.013,0.027,12
-0.016,0.022,-0.009,21
-0.014,-0.014,0.025,7
-0.013,0.021,-0.011,23
-0.012,-0.015,-0.01,7
-0.01,0.02,-0.009,44
0.024,-0.015,-0.008,5
-0.012,-0.014,-0.007,20
0.023,-0.012,-0.006,11
0.021,-0.011,0.028,21
-0.015,-0.01,-0.008,10
-0.013,0.025,0.026,21
-0.012,-0.011,-0.045,19
-0.011,-0.01,0.028,10
0.024,-0.009,-0.043,20
0.021,-0.008,0.064,12
-0.014,0.026,-0.079,18
-0.013,-0.01,0.065,22
0.022,0.025,-0.044,8
-0.014,-0.011,0.063,20
-0.012,-0.01,-0.08,11
0.022,-0.009,0.03,20
0.02,-0.008,-0.006,8
-0.015,-0.007,0.028,22
-0.014,-0.007,-0.008,20
0.021,-0.006,-0.007,8
0.019,0.028,0.027,22
-0.016,-0.008,-0.009,8
-0.015,0.026,0.025,21
-0.013,-0.01,-0.045,9
-0.012,-0.009,0.027,21
-0.011,0.026,-0.009,11
0.024,-0.011,0.025,21
-0.012,0.024,-0.011,17
-0.011,-0.012,0.024,12
-0.01,0.023,-0.012,20
-0.009,-0.013,-0.011,30
0.026,0.022,0.024,20
-0.01,-0.014,0.021,8
0.024,0.021,-0.014,23
-0.012,-0.015,0.021,7
-0.01,0.02,-0.015,22
-0.009,-0.015,0.02,20
0.025,-0.014,-0.015,8
-0.011,0.021,-0.014,22
-0.01,0.019,0.021,8
0.025,-0.016,-0.015,21
0.022,0.019,0.02,10
-0.014,-0.017,-0.015,21
-0.012,0.019,-0.014,19
0.023,-0.017,-0.012,10
-0.013,-0.015,-0.011,32
0.022,0.02,0.024,18
0.019,-0.016,-0.012,9
-0.016,-0.014,0.023,22
-0.014,-0.012,-0.013,20
0.021,0.022,0.022,8
-0.015,-0.013,-0.014,22
0.02,-0.012,0.021,8
0.018,-0.011,-0.015,22
0.016,0.024,-0.013,19
-0.019,-0.012,-0.012,10
0.016,0.023,-0.011,50
-0.019,0.02,0.024,10
-0.017,-0.015,-0.012,21
0.018,-0.014,0.023,19
-0.017,-0.012,-0.013,10
-0.015,-0.011,0.022,21
-0.014,-0.01,-0.014,9
0.021,-0.009,-0.012,21
-0.014,-0.008,-0.011,8
0.021,0.026,-0.01,22
0.018,-0.01,-0.009,19
-0.017,0.025,-0.008,9
-0.015,0.022,0.026,23
-0.014,-0.014,-0.01,7
0.021,-0.012,0.025,22
0.019,0.023,-0.011,8
0.017,-0.013,0.023,20
-0.018,0.022,-0.013,20
-0.016,-0.014,0.022,11
-0.015,-0.013,-0.013,20
-0.013,0.022,-0.012,10
0.022,-0.014,0.023,31
-0.014,0.021,0.02,20
-0.012,-0.014,-0.015,19
-0.011,0.021,-0.014,30
-0.01,-0.015,-0.012,9
0.025,0.02,-0.011,31
0.022,-0.015,0.024,21
-0.014,-0.014,-0.012,19
0.021,-0.012,-0.011,31
-0.014,0.022,-0.01,8
-0.013,-0.013,-0.009,21
0.022,0.021,-0.008,30
0.02,-0.014,-0.007,20
-0.016,0.021,-0.006,10
-0.014,-0.015,-0.006,21
-0.013,0.02,-0.005,9
0.022,-0.015,-0.004,21
-0.014,-0.014,-0.004,20
0.021,0.021,-0.003,28
0.019,-0.015,0.03,11
-0.016,-0.013,0.027,21
0.019,-0.012,-0.009,20
0.017,-0.01,0.025,8
-0.018,-0.009,-0.011,23
-0.016,-0.008,0.024,7
-0.015,0.026,0.022,22
-0.013,-0.01,-0.014,8
0.022,-0.009,-0.013,52
0.019,0.025,-0.011,20
-0.016,0.023,-0.01,8
0.019,0.02,-0.009,22
0.017,-0.015,-0.008,9
-0.018,-0.014,-0.042,19
-0.016,-0.012,-0.003,11
0.019,0.023,0.031,22
0.017,-0.013,-0.006,18
-0.053,-0.012,-0.005,10
-0.013,-0.011,-0.005,22
0.022,-0.009,0.029,7
-0.014,0.025,0.026,21
-0.012,0.022,-0.01,21
0.022,-0.013,-0.009,8
-0.013,-0.012,0.026,22
-0.012,-0.011,-0.01,8
0.023,-0.01,0.024,32
0.02,0.025,0.022,19
-0.015,0.022,-0.014,12
0.02,-0.048,0.021,39
-0.016,-0.009,-0.015,9
-0.014,0.026,-0.013,41
0.021,-0.01,0.022,9
-0.015,0.024,-0.014,21
-0.013,-0.012,0.021,8
0.022,-0.01,-0.015,22
