pp;age;gender;hasKids;s1a;s1b;r1;s2a;s2b;r2;s3a;s3b;r3;s4a;s4b;r4
176;26;female;no;13;8;2.26;2;9;7.74;11;3;7.33;6;14;7.32
177;26;female;yes;10;1;7.29;7;15;9.3;5;16;7.76;12;4;3.06
178;20;male;no;12;4;7.89;10;1;1.35;15;7;10;5;16;NA
179;30;female;no;2;9;NA;6;14;NA;3;11;2.47;13;8;NA
180;19;female;no;3;11;10;9;2;NA;14;6;2.37;8;13;2.48
181;29;male;no;12;4;7.04;7;15;5.48;5;16;4.99;1;10;0.11
182;24;male;no;12;4;10;7;15;NA;16;5;10;10;1;10
183;42;female;yes;2;9;9.9;11;3;0.03;13;8;9.96;14;6;9.89
184;20;male;yes;5;16;0;7;15;2.51;10;1;6.41;4;12;9.92
185;26;female;no;6;14;10;11;3;2.73;8;13;8.93;9;2;0.82
186;18;female;no;15;7;7.34;16;5;8.33;12;4;5.99;1;10;3.52
187;40;male;no;4;12;1.97;16;5;7.4;10;1;7.63;15;7;9.89
188;28;female;no;1;10;2.36;16;5;9.99;15;7;9.01;12;4;0.78
189;27;female;no;14;6;8.54;8;13;4.92;11;3;4.9;9;2;7.98
190;49;male;no;9;2;5.83;3;11;NA;6;14;4.57;13;8;6.23
191;49;male;yes;16;5;9.92;15;7;9.9;4;12;9.92;10;1;0.11
192;19;male;no;8;13;5.01;2;9;10;3;11;9.97;6;14;5.03
193;18;male;no;16;5;NA;10;1;NA;4;12;3.51;7;15;NA
194;18;male;no;15;7;NA;5;16;NA;10;1;3;4;12;NA
195;23;female;no;3;11;5.94;13;8;6.07;6;14;4.15;9;2;6.51
196;41;male;yes;5;16;1.02;10;1;NA;4;12;NA;15;7;9.73
197;19;female;no;5;16;2.53;12;4;7.59;7;15;9.81;1;10;5.02
198;20;male;no;16;5;0;10;1;4.99;12;4;5.03;15;7;4.99
199;26;female;yes;8;13;NA;9;2;8.64;6;14;8.75;11;3;8.45
200;45;male;yes;10;1;5.98;16;5;7.68;7;15;8.41;12;4;6.92
201;23;male;yes;5;16;NA;10;1;NA;12;4;7.52;15;7;NA
202;19;male;no;15;7;8.49;4;12;NA;5;16;1.55;10;1;6.7
203;19;male;no;6;14;NA;9;2;10;8;13;10;3;11;NA
204;45;female;yes;15;7;NA;16;5;1.21;4;12;8.12;1;10;9.15
205;22;female;no;6;14;NA;11;3;6.01;13;8;NA;2;9;10
206;23;male;no;5;16;10;7;15;NA;12;4;10;1;10;NA
207;37;female;yes;8;13;NA;2;9;NA;11;3;0.46;6;14;NA
208;33;male;yes;12;4;8.05;7;15;4.97;1;10;2.61;5;16;5.06
209;33;male;yes;9;2;3.69;3;11;5.2;14;6;0.53;13;8;6.59
210;37;male;no;8;13;NA;3;11;NA;9;2;NA;14;6;7.05
211;36;male;yes;14;6;4.98;9;2;9.89;8;13;9.87;3;11;9.94
212;21;female;no;16;5;1.67;1;10;8.77;12;4;9.01;15;7;1.07
213;21;female;yes;10;1;7.54;5;16;8.42;12;4;9.27;15;7;0.52
214;39;female;no;8;13;NA;6;14;7.77;9;2;NA;11;3;NA
215;34;female;yes;5;16;9.99;4;12;8.5;15;7;2.93;10;1;8.94
216;34;female;yes;5;16;9.99;4;12;8.5;15;7;2.93;10;1;8.94
217;37;female;yes;1;10;8.44;12;4;8.97;5;16;NA;15;7;NA
218;69;male;yes;9;2;9.97;3;11;0.15;6;14;9.94;8;13;9.96
219;18;male;no;9;2;9.02;3;11;1.04;14;6;7.19;13;8;7.77
220;29;female;no;4;12;7.92;1;10;0.61;16;5;9.49;7;15;0.34
221;23;male;no;8;13;NA;11;3;9.05;2;9;9.78;14;6;NA
222;29;female;yes;12;4;NA;10;1;3.3;15;7;3.99;16;5;NA
223;18;male;no;11;3;NA;2;9;NA;6;14;NA;13;8;NA
224;27;female;no;8;13;NA;2;9;NA;11;3;5.43;14;6;7.95
225;50;male;yes;7;15;2;5;16;0.04;4;12;7.47;1;10;0.04
226;28;male;no;5;16;7.32;12;4;NA;7;15;NA;1;10;1.98
227;22;male;no;8;13;NA;14;6;NA;9;2;7.53;11;3;9.73
228;33;male;no;3;11;NA;9;2;9.88;8;13;NA;6;14;NA
229;18;female;no;16;5;NA;12;4;9.81;1;10;9.67;15;7;9.55
230;25;male;no;1;10;0.11;15;7;5.03;4;12;0.08;16;5;4.97
231;37;male;yes;14;6;8.96;2;9;6.6;11;3;9.4;13;8;8.85
232;33;female;no;2;9;9.85;13;8;NA;11;3;4.95;14;6;9.43
233;24;male;yes;6;14;NA;11;3;NA;2;9;NA;13;8;NA
234;35;female;yes;2;9;5.71;3;11;NA;6;14;NA;13;8;8.19
235;19;male;no;12;4;0.03;10;1;10;16;5;10;15;7;6.46
236;45;male;yes;5;16;NA;4;12;NA;10;1;NA;15;7;NA
237;28;female;no;16;5;NA;12;4;6.62;15;7;NA;10;1;6.62
