"pp" "gender" "hasKids" "userPref" "prediction.before" "prediction.after" "prediction.avg" "role" "userPref01" "prediction.before01" "prediction.after01" "prediction.avg1"
"201" 51 "female" "no" 4.75 80.4860486472407 -12.2405227523298 28.7025629645715 "parent" 1 1 0 1
"202" 51 "female" "no" 4.48 58.1272833329937 -28.7994198718405 8.89582820443681 "parent" 1 1 0 1
"203" 51 "female" "no" 4.47 43.3690196406325 -40.5333257281126 -3.83266621660565 "child" 1 1 0 0
"204" 51 "female" "no" 4.85 -13.141004437435 131.250556043417 63.5448501153052 "parent" 1 0 1 1
"207" 52 "female" "yes" 1.46 24.1958938403699 -6.36894046411092 6.82721746664643 "child" 1 1 0 1
"208" 52 "female" "yes" 3.19 -10.365467094901 -26.3878122790697 -5.90232507735286 "parent" 1 0 0 0
"211" 53 "male" "yes" 4.78 44.4112356070613 11.6272642917909 29.5851648108668 "child" 1 1 1 1
"213" 54 "female" "yes" -1.41 -109.58273189249 -143.231281586668 -110.490545485244 "parent" 0 0 0 0
"214" 54 "female" "yes" 3.82 49.3118701013184 -25.3323996176795 22.3184881732973 "child" 1 1 0 1
"215" 54 "female" "yes" 3.97 17.7603097108131 58.5624918446299 46.2607694620783 "parent" 1 1 1 1
"216" 54 "female" "yes" -3.34 23.4873519770259 67.4493707771889 39.8258610870668 "parent" 0 1 1 1
"224" 56 "male" "no" 1.9 -33.3089187256578 -36.6918809440537 -29.6790732809668 "child" 1 0 0 0
"229" 58 "male" "no" -0.73 -19.9315265779314 -19.0220705196078 -17.7743409820469 "child" 0 0 0 0
"230" 58 "male" "no" -1.85 -10.0331433471949 -1.78888360376868 -5.80973794330399 "parent" 0 0 0 0
"231" 58 "male" "no" 2.31 3.6426761170006 11.8123467748181 5.84682143283364 "child" 1 1 1 1
"232" 58 "male" "no" 2.45 -10.0035238520102 -15.6545435298338 -12.5242793001961 "child" 1 0 0 0
"234" 59 "male" "no" -2.75 -2.84912111685902 -42.9005783419044 -5.55849050968086 "child" 0 0 0 0
"236" 59 "male" "no" 2.58 35.1542003947181 34.3117534523258 29.0453698147395 "parent" 1 1 1 1
"237" 60 "male" "no" -5 -41.7346729151114 -60.9619880414361 -60.3822750383099 "child" 0 0 0 0
"238" 60 "male" "no" -2.78 17.2109508711107 -101.189182696511 -51.6114123885751 "child" 0 1 0 0
"239" 60 "male" "no" -3.33 -69.8163659374756 -81.5768765300541 -80.0685786090745 "parent" 0 0 0 0
"240" 60 "male" "no" -4.24 -14.8016118359207 -91.9308321992763 -62.425038432666 "child" 0 0 0 0
"241" 61 "female" "yes" 4.55 -67.111421213275 -22.9212040025873 -49.6431533453469 "parent" 1 0 0 0
"242" 61 "female" "yes" 3.12 25.1269001160293 -22.4407758120041 -3.84246063922755 "child" 1 1 0 0
"243" 61 "female" "yes" -4.27 -56.5544127535004 -36.7887951260829 -37.439616432853 "parent" 0 0 0 0
"244" 61 "female" "yes" 2.7 64.8098365046902 39.5619395604273 52.8867224669429 "child" 1 1 1 1
"248" 62 "male" "yes" 0.66 -7.21259582345478 -18.3611995338858 -8.33721864965536 "child" 1 0 0 0
"249" 63 "male" "no" 3.36 40.1919290252648 103.49835801884 63.5399236930824 "child" 1 1 1 1
"251" 63 "male" "no" -4.78 -120.365760771439 -11.4673452288758 -86.967529805339 "child" 0 0 0 0
"253" 64 "female" "yes" 5 -23.0047770108815 -81.8684535636085 -75.3760604785576 "parent" 1 0 0 0
"254" 64 "female" "yes" 4.87 4.94171558100282 -20.1314005531105 1.25691414510837 "parent" 1 1 0 1
"255" 64 "female" "yes" 4.82 41.8607693307492 189.628195944136 116.32923989875 "child" 1 1 1 1
"261" 66 "male" "no" -0.0199999999999996 -11.6336558915591 -3.89017402398031 2.81078651509869 "child" 0 0 0 1
"264" 66 "male" "no" 0.00999999999999979 2.01800100896885 -15.7154998122926 -9.25061186729121 "child" 1 1 0 0
"265" 67 "male" "no" 0.96 -0.884872982849856 -8.73533183160382 -19.9091855357493 "parent" 1 0 0 0
"266" 67 "male" "no" 1.28 2.11964116861872 -20.7798484471508 -27.0020798164326 "child" 1 1 0 0
"267" 67 "male" "no" 0.04 -64.3703220512319 -74.8767237948705 -56.2572254606918 "parent" 1 0 0 0
"269" 68 "male" "no" 3.77 -44.1674615970341 2.19507260110248 -9.45194735635572 "child" 1 0 1 0
"270" 68 "male" "no" -0.00999999999999979 -13.8273594806961 -27.7144558389457 -24.4999371108658 "parent" 0 0 0 0
"271" 68 "male" "no" -2.63 14.4179900746289 -13.4720653916072 -5.48294201277221 "parent" 0 1 0 0
